iter	RMSE
1238	9648.106495
1239	9640.710004
1240	9635.315579
1241	9628.754191
1242	9622.45823
1243	9621.006271
1244	9613.888903
1245	9611.847874
1246	9602.578412
1247	9601.525603
1248	9601.298661
1249	9596.901244
1250	9585.248849
1251	9585.135903
1252	9578.114625
1253	9570.82523
1254	9557.402473
1255	9552.622782
1256	9549.861479
1257	9543.779241
1258	9539.502749
1259	9538.033617
1260	9534.280205
1261	9528.378623
1262	9521.2227
1263	9512.114545
1264	9506.105962
1265	9501.299492
1266	9500.047828
1267	9498.368224
1268	9491.495986
1269	9484.766264
1270	9484.161708
1271	9483.571448
1272	9480.128227
1273	9479.956254
1274	9471.08596
1275	9470.010002
1276	9468.001871
1277	9463.721373
1278	9457.464513
1279	9451.791223
1280	9451.305161
1281	9448.584721
1282	9439.479082
1283	9433.724102
1284	9432.819376
1285	9431.994628
1286	9427.149146
1287	9424.764149
1288	9415.168926
1289	9400.886522
1290	9393.777012
1291	9382.113868
1292	9381.617924
1293	9376.178749
1294	9371.097684
1295	9369.611679
1296	9364.343239
1297	9359.915047
1298	9355.830301
1299	9347.046599
1300	9337.888452
1301	9334.764067
1302	9331.224024
1303	9324.625638
1304	9317.040229
1305	9316.307128
1306	9312.750016
1307	9303.485583
1308	9295.719709
1309	9294.656173
1310	9291.161999
1311	9290.408936
1312	9285.840619
1313	9282.218532
1314	9276.692786
1315	9274.170272
1316	9265.527645
1317	9264.766939
1318	9256.124159
1319	9251.752265
1320	9242.805527
1321	9236.291154
1322	9232.153049
1323	9222.75162
1324	9220.094507
1325	9215.811648
1326	9214.924258
1327	9207.149292
1328	9201.75545
1329	9200.96627
1330	9200.349047
1331	9194.595887
1332	9189.613738
1333	9184.434307
1334	9178.6756
1335	9172.113423
1336	9168.899221
1337	9166.914028
1338	9162.462709
1339	9161.753652
1340	9156.985637
1341	9151.349343
1342	9148.350816
1343	9143.642364
1344	9140.251823
1345	9139.052739
1346	9133.570572
1347	9131.720926
1348	9125.284652
1349	9122.947159
1350	9114.675669
1351	9110.198705
1352	9104.113944
1353	9098.625862
1354	9090.22002
1355	9089.654344
1356	9085.274686
1357	9079.165494
1358	9078.493409
1359	9077.536905
1360	9075.032555
1361	9070.331609
1362	9069.943382
1363	9063.986535
1364	9062.14004
1365	9060.839953
1366	9055.764352
1367	9051.59707
1368	9050.933686
1369	9044.893035
1370	9044.381016
1371	9038.372228
1372	9030.458333
1373	9026.186432
1374	9020.764417
1375	9018.158657
1376	9017.661367
1377	9014.546882
1378	9008.777801
1379	9005.155161
1380	9000.526947
1381	8993.58715
1382	8988.886424
1383	8985.967856
1384	8985.600095
1385	8984.991362
1386	8984.499469
1387	8983.901804
1388	8983.469632
1389	8973.338422
1390	8956.943177
1391	8947.256174
1392	8941.916259
1393	8930.509338
1394	8918.291043
1395	8906.18498
1396	8903.965942
1397	8895.157127
1398	8885.033225
1399	8881.628591
1400	8877.029244
1401	8866.483795
1402	8865.133928
1403	8860.710086
1404	8856.669525
1405	8849.86559
1406	8848.576912
1407	8848.02656
1408	8845.074911
1409	8840.703505
1410	8840.568869
1411	8839.89809
1412	8835.388116
1413	8825.854022
1414	8823.958701
1415	8820.891734
1416	8820.345281
1417	8819.802155
1418	8818.926205
1419	8806.418575
1420	8798.488636
1421	8795.489636
1422	8790.411154
1423	8787.539692
1424	8779.443067
1425	8773.346001
1426	8767.484571
1427	8762.501033
1428	8761.399646
1429	8757.997868
1430	8747.306672
1431	8744.490612
1432	8744.383156
1433	8739.079897
1434	8737.794497
1435	8732.69043
1436	8728.593288
1437	8726.970483
1438	8726.819414
1439	8724.204694
1440	8720.50938
1441	8717.465161
1442	8711.368863
1443	8708.310568
1444	8707.976137
1445	8704.260791
1446	8695.425857
1447	8693.012973
1448	8687.526059
1449	8687.015415
1450	8686.917453
1451	8684.113769
1452	8679.844909
1453	8675.996212
1454	8668.897184
1455	8667.580556
1456	8662.759693
1457	8661.501023
1458	8656.320223
1459	8649.579612
1460	8649.407555
1461	8634.379524
1462	8633.768671
1463	8628.947891
1464	8624.899464
1465	8621.59264
1466	8612.904928
1467	8612.591089
1468	8612.310082
1469	8607.449983
1470	8603.973357
1471	8598.673286
1472	8595.166564
1473	8591.838778
1474	8582.962727
1475	8577.693632
1476	8575.55933
1477	8571.119503
1478	8565.312651
1479	8562.557695
1480	8555.516504
1481	8552.858263
1482	8549.029319
1483	8542.219107
1484	8541.350694
1485	8537.481175
1486	8537.129093
1487	8534.384604
1488	8529.839101
1489	8523.4212
1490	8517.330051
1491	8514.291033
1492	8504.17667
1493	8499.129694
1494	8498.775704
1495	8492.98323
1496	8492.662444
1497	8484.029018
1498	8472.525385
1499	8466.171701
1500	8461.134774
1501	8460.938849
1502	8460.867581
1503	8459.210578
1504	8454.846425
1505	8453.163922
1506	8447.662537
1507	8446.212745
1508	8439.394628
1509	8431.944878
1510	8430.009505
1511	8427.247146
1512	8422.158758
1513	8420.042832
1514	8408.516517
1515	8401.430741
1516	8397.276189
1517	8394.711657
1518	8394.172747
1519	8393.254972
1520	8389.700072
1521	8388.93774
1522	8386.199054
1523	8385.001867
1524	8383.358174
1525	8372.801042
1526	8369.431539
1527	8363.191231
1528	8352.631847
1529	8344.729342
1530	8339.828803
1531	8339.679269
1532	8335.882093
1533	8335.697081
1534	8329.495614
1535	8324.339311
1536	8318.279514
1537	8317.991794
1538	8312.769647
1539	8310.089649
1540	8305.490655
1541	8305.159475
1542	8296.191323
1543	8287.046472
1544	8285.638448
1545	8285.338648
1546	8277.720322
1547	8270.778632
1548	8270.541963
1549	8269.145169
1550	8266.469205
1551	8266.178723
1552	8260.309515
1553	8258.284353
1554	8254.612307
1555	8254.527945
1556	8251.749369
1557	8247.499942
1558	8244.155179
1559	8244.023426
1560	8238.501463
1561	8233.646543
1562	8232.980357
1563	8227.982603
1564	8226.738074
1565	8222.662739
1566	8220.767052
1567	8217.337723
1568	8207.722538
1569	8202.10254
1570	8194.487747
1571	8193.077612
1572	8189.867749
1573	8187.603893
1574	8182.859143
1575	8182.543053
1576	8177.544449
1577	8167.754144
1578	8167.526249
1579	8163.99586
1580	8159.484493
1581	8159.261863
1582	8147.698549
1583	8145.17558
1584	8143.097176
1585	8141.31392
1586	8138.104652
1587	8125.770985
1588	8124.429793
1589	8118.367391
1590	8113.123794
1591	8110.761594
1592	8109.560271
1593	8102.8778
1594	8102.646248
1595	8099.564455
1596	8094.213503
1597	8087.386395
1598	8084.401178
1599	8080.12303
1600	8071.046982
1601	8066.349544
1602	8061.106021
1603	8061.02338
1604	8058.416379
1605	8054.095576
1606	8043.882377
1607	8038.373952
1608	8036.017227
1609	8027.765194
1610	8019.071731
1611	8018.994016
1612	8015.5014
1613	8008.736073
1614	8006.557732
1615	8002.59752
1616	8001.772795
1617	7995.677345
1618	7995.566891
1619	7990.524674
1620	7985.394925
1621	7979.606757
1622	7979.216354
1623	7970.476512
1624	7970.181717
1625	7970.017079
1626	7969.8243
1627	7964.415525
1628	7963.036912
1629	7957.82956
1630	7954.835146
1631	7943.737533
1632	7943.584159
1633	7943.406683
1634	7940.915708
1635	7939.872329
1636	7938.239389
1637	7936.664221
1638	7936.479823
1639	7933.719508
1640	7930.722318
1641	7928.609781
1642	7927.688693
1643	7923.093377
1644	7922.846931
1645	7921.528065
1646	7921.314334
1647	7921.177575
1648	7918.362383
1649	7916.563949
1650	7911.440177
1651	7905.292018
1652	7903.879527
1653	7898.422145
1654	7898.252251
1655	7893.186437
1656	7889.314321
1657	7885.72554
1658	7883.571121
1659	7877.961548
1660	7874.641836
1661	7873.985445
