iter	Passed	Remaining
1379	23611	45022
1380	23623	44996
1381	23639	44977
1382	23653	44953
1383	23666	44927
1384	23681	44907
1385	23695	44883
1386	23708	44858
1387	23720	44831
1388	23731	44803
1389	23744	44777
1390	23756	44751
1391	23771	44730
1392	23786	44708
1393	23799	44684
1394	23810	44655
1395	23821	44627
1396	23836	44605
1397	23854	44590
1398	23867	44565
1399	23880	44541
1400	23896	44521
1401	23910	44498
1402	23923	44472
1403	23934	44445
1404	23949	44424
1405	23962	44398
1406	23974	44372
1407	23991	44355
1408	24003	44328
1409	24019	44310
1410	24033	44287
1411	24050	44269
1412	24066	44249
1413	24080	44227
1414	24094	44204
1415	24108	44181
1416	24120	44155
1417	24133	44130
1418	24147	44107
1419	24160	44083
1420	24175	44062
1421	24189	44039
1422	24201	44013
1423	24215	43990
1424	24228	43966
1425	24242	43944
1426	24256	43921
1427	24270	43898
1428	24285	43877
1429	24299	43854
1430	24309	43825
1431	24323	43802
1432	24336	43777
1433	24348	43753
1434	24361	43727
1435	24374	43703
1436	24389	43682
1437	24402	43658
1438	24416	43635
1439	24430	43613
1440	24444	43591
1441	24457	43567
1442	24470	43542
1443	24485	43522
1444	24500	43501
1445	24514	43478
1446	24526	43453
1447	24540	43431
1448	24553	43407
1449	24570	43388
1450	24582	43364
1451	24595	43340
1452	24615	43327
1453	24627	43302
1454	24640	43278
1455	24654	43255
1456	24665	43228
1457	24678	43203
1458	24690	43178
1459	24703	43154
1460	24718	43134
1461	24730	43107
1462	24745	43087
1463	24761	43069
1464	24777	43051
1465	24793	43031
1466	24807	43009
1467	24818	42983
1468	24831	42959
1469	24847	42940
1470	24861	42918
1471	24876	42896
1472	24890	42875
1473	24906	42857
1474	24918	42831
1475	24936	42816
1476	24950	42794
1477	24965	42773
1478	24976	42746
1479	24992	42727
1480	25005	42703
1481	25017	42678
1482	25033	42660
1483	25047	42638
1484	25060	42614
1485	25073	42591
1486	25086	42568
1487	25105	42553
1488	25116	42527
1489	25131	42507
1490	25145	42485
1491	25163	42469
1492	25175	42444
1493	25189	42422
1494	25201	42397
1495	25214	42374
1496	25226	42348
1497	25241	42327
1498	25254	42304
1499	25270	42286
1500	25285	42266
1501	25299	42244
1502	25313	42222
1503	25327	42201
1504	25346	42187
1505	25363	42171
1506	25380	42153
1507	25397	42137
1508	25409	42112
1509	25424	42093
1510	25439	42072
1511	25453	42050
1512	25467	42028
1513	25480	42005
1514	25493	41981
1515	25507	41961
1516	25519	41935
1517	25534	41915
1518	25548	41893
1519	25562	41872
1520	25575	41849
1521	25592	41832
1522	25607	41812
1523	25622	41791
1524	25633	41765
1525	25646	41742
1526	25661	41723
1527	25674	41699
1528	25688	41679
1529	25702	41656
1530	25716	41635
1531	25731	41615
1532	25745	41594
1533	25760	41573
1534	25773	41550
1535	25787	41529
1536	25799	41505
1537	25812	41482
1538	25824	41457
1539	25838	41435
1540	25851	41413
1541	25866	41393
1542	25881	41373
1543	25895	41351
1544	25909	41331
1545	25922	41307
1546	25934	41283
1547	25946	41259
1548	25960	41237
1549	25974	41216
1550	25986	41192
1551	26002	41173
1552	26018	41155
1553	26029	41130
1554	26042	41106
1555	26056	41085
1556	26070	41063
1557	26086	41045
1558	26100	41024
1559	26116	41007
1560	26132	40988
1561	26145	40966
1562	26160	40946
1563	26176	40928
1564	26191	40909
1565	26206	40888
1566	26220	40867
1567	26234	40846
1568	26247	40823
1569	26261	40802
1570	26271	40775
1571	26285	40753
1572	26296	40728
1573	26315	40714
1574	26327	40691
1575	26342	40670
1576	26354	40647
1577	26367	40625
1578	26380	40602
1579	26394	40581
1580	26407	40559
1581	26421	40536
1582	26438	40521
1583	26451	40499
1584	26466	40479
1585	26482	40460
1586	26495	40438
1587	26508	40416
1588	26526	40401
1589	26539	40378
1590	26551	40354
1591	26566	40335
1592	26580	40314
1593	26592	40290
1594	26604	40266
1595	26618	40246
1596	26631	40224
1597	26647	40205
1598	26665	40190
1599	26680	40171
1600	26691	40146
1601	26706	40126
1602	26717	40100
1603	26732	40081
1604	26746	40061
1605	26759	40038
1606	26774	40019
1607	26786	39996
1608	26804	39981
1609	26819	39962
1610	26835	39943
1611	26849	39923
1612	26863	39902
1613	26874	39877
1614	26886	39853
1615	26900	39832
1616	26913	39810
1617	26927	39789
1618	26942	39770
1619	26956	39749
1620	26967	39724
1621	26978	39699
1622	26991	39678
1623	27004	39654
1624	27017	39633
1625	27030	39612
1626	27043	39589
1627	27055	39565
1628	27066	39541
1629	27078	39517
1630	27092	39496
1631	27111	39484
1632	27127	39465
1633	27141	39445
1634	27155	39425
1635	27170	39405
1636	27184	39384
1637	27198	39365
1638	27210	39341
1639	27224	39321
1640	27241	39304
1641	27255	39283
1642	27266	39259
1643	27280	39237
1644	27299	39225
1645	27317	39211
1646	27334	39193
1647	27348	39173
1648	27369	39163
1649	27390	39152
1650	27406	39134
1651	27427	39125
1652	27439	39101
1653	27454	39082
1654	27469	39063
1655	27484	39044
1656	27499	39025
1657	27514	39006
1658	27529	38987
1659	27541	38964
1660	27564	38956
1661	27577	38934
1662	27590	38913
1663	27604	38893
1664	27621	38876
1665	27633	38853
1666	27647	38832
1667	27660	38811
